,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
11,population_density,1.98,16.426,16.426,36.253,36.253,64.281,64.281,82.6,82.6,109.285,109.285,163.755,163.755,323.54940397824345,323.54940397824345,19347.5
12,median_age,15.1,19.0,19.0,22.6,22.6,27.5,27.5,30.6,30.6,33.7,33.7,39.7,39.7,43.0,43.0,48.2
13,gdp_per_capita,661.24,2014.306,2014.306,5034.708,5034.708,8787.58,8787.58,14103.452,14103.452,19201.007797629238,19201.007797629238,27936.896,27936.896,43290.705,43290.705,116935.6
14,hospital_beds_per_thousand,0.1,0.8,0.8,1.4,1.4,2.0,2.0,2.77,2.77,3.0426601339808435,3.0426601339808435,3.861,3.861,5.64,5.64,13.8
15,life_expectancy,53.28,62.42,62.42,67.44,67.44,72.58,72.58,75.05,75.05,76.88,76.88,78.74,78.74,82.25,82.25,86.75
16,human_development_index,0.354,0.503,0.503,0.606,0.606,0.699,0.699,0.752,0.752,0.791,0.791,0.847,0.847,0.903,0.903,0.953
17,new_death_1_day_ago,0.0,0.0,0.0,0.0,0.0,0.004128186352035842,0.004128186352035842,0.7275320970042796,0.7275320970042796,1.0714285714285714,1.0714285714285714,1.5,1.5,2.606979405034325,2.606979405034325,30.000000000000032
18,new_death_2_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7258064516129032,0.7258064516129032,1.0576923076923077,1.0576923076923077,1.4634146341463414,1.4634146341463414,2.5,2.5,30.000000000000032
19,new_death_3_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7221006564551423,0.7221006564551423,1.0470041071295926,1.0470041071295926,1.4285714285714286,1.4285714285714286,2.3493975903614457,2.3493975903614457,30.000000000000032
20,new_death_4_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171314741035856,0.7171314741035856,1.03448275862069,1.03448275862069,1.397652237710932,1.397652237710932,2.26027397260274,2.26027397260274,30.000000000000032
21,new_death_5_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,1.0256410256410258,1.0256410256410258,1.3636363636363638,1.3636363636363638,2.142857142857143,2.142857142857143,30.000000000000032
22,new_death_6_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7100591715976331,0.7100591715976331,1.0139681142493076,1.0139681142493076,1.3333333333333333,1.3333333333333333,2.0418192350993016,2.0418192350993016,30.000000000000032
23,new_death_7_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.7058823529411765,1.0009822055961621,1.0009822055961621,1.3043478260869565,1.3043478260869565,1.95006678539626,1.95006678539626,30.000000000000032
24,new_death_8_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702576112412178,0.702576112412178,0.994843412882309,0.994843412882309,1.2703583061889252,1.2703583061889252,1.865050453250615,1.865050453250615,30.000000000000032
25,new_death_9_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6976744186046512,0.6976744186046512,0.9830639407641654,0.9830639407641654,1.2425758049390434,1.2425758049390434,1.7857142857142858,1.7857142857142858,30.000000000000032
26,new_death_10_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829300762139314,0.6829300762139314,0.9710564048686731,0.9710564048686731,1.2162162162162162,1.2162162162162162,1.7391304347826089,1.7391304347826089,30.000000000000032
