,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
28,new_death_12_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3418554162211205,0.3418554162211205,0.5813953488372093,0.5813953488372093,0.7328259871950933,0.7328259871950933,0.8490566037735849,0.8490566037735849,0.9428571428571431,0.9428571428571431,1.0231016336402137,1.0231016336402137,1.1111111111111112,1.1111111111111112,1.2121212121212122,1.2121212121212122,1.3636363636363638,1.3636363636363638,1.619996680860826,1.619996680860826,2.307692307692308,2.307692307692308,30.000000000000032
29,new_death_13_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32967032967032966,0.32967032967032966,0.567828057796776,0.567828057796776,0.7246376811594203,0.7246376811594203,0.8385093167701863,0.8385093167701863,0.933898221773206,0.933898221773206,1.0116236362996691,1.0116236362996691,1.09375,1.09375,1.191412550887165,1.191412550887165,1.3328706274292061,1.3328706274292061,1.5826100587419973,1.5826100587419973,2.2544982398192017,2.2544982398192017,30.000000000000032
30,new_death_14_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31477290337697506,0.31477290337697506,0.5590062111801242,0.5590062111801242,0.7142857142857143,0.7142857142857143,0.8296296296296296,0.8296296296296296,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0784139071305483,1.0784139071305483,1.1707599803973312,1.1707599803973312,1.3043478260869565,1.3043478260869565,1.5566051694002438,1.5566051694002438,2.1951219512195124,2.1951219512195124,30.000000000000032
31,new_death_15_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2980873039906258,0.2980873039906258,0.5454545454545455,0.5454545454545455,0.7013214766527316,0.7013214766527316,0.8159564823209429,0.8159564823209429,0.911214953271028,0.911214953271028,0.9928822899127506,0.9928822899127506,1.0679611650485439,1.0679611650485439,1.153846153846154,1.153846153846154,1.288177961812501,1.288177961812501,1.5342238274825613,1.5342238274825613,2.142857142857143,2.142857142857143,30.000000000000032
32,new_death_16_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26834403401984497,0.26834403401984497,0.5263157894736842,0.5263157894736842,0.6818181818181819,0.6818181818181819,0.8012675418741512,0.8012675418741512,0.8963259213428129,0.8963259213428129,0.9799878800586933,0.9799878800586933,1.0572299131706677,1.0572299131706677,1.1464968152866242,1.1464968152866242,1.2699420722282704,1.2699420722282704,1.5,1.5,2.142857142857143,2.142857142857143,30.000000000000032
33,new_death_17_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.22727272727272727,0.5042016806722689,0.5042016806722689,0.6618052750771716,0.6618052750771716,0.7862903225806451,0.7862903225806451,0.8823529411764706,0.8823529411764706,0.9677419354838709,0.9677419354838709,1.049311313423685,1.049311313423685,1.1369677224349606,1.1369677224349606,1.2631578947368423,1.2631578947368423,1.5,1.5,2.142857142857143,2.142857142857143,30.000000000000032
34,new_death_18_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19246211497282162,0.19246211497282162,0.48387096774193544,0.48387096774193544,0.6451612903225806,0.6451612903225806,0.7692307692307692,0.7692307692307692,0.8709614709276075,0.8709614709276075,0.9571592485114488,0.9571592485114488,1.0409133190385573,1.0409133190385573,1.129278799657789,1.129278799657789,1.2588682503936743,1.2588682503936743,1.5,1.5,2.112676056338028,2.112676056338028,30.000000000000032
35,new_death_19_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16188897792671375,0.16188897792671375,0.46403721553732724,0.46403721553732724,0.625,0.625,0.75,0.75,0.855415828294295,0.855415828294295,0.9448818897637795,0.9448818897637795,1.0323001110027246,1.0323001110027246,1.124055636757085,1.124055636757085,1.25,1.25,1.5,1.5,2.123594833771825,2.123594833771825,30.000000000000032
36,new_death_20_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11209751802783835,0.11209751802783835,0.44204791192743,0.44204791192743,0.6069802953359389,0.6069802953359389,0.7317073170731707,0.7317073170731707,0.8394702903300342,0.8394702903300342,0.937283966318267,0.937283966318267,1.0273972602739727,1.0273972602739727,1.1214953271028036,1.1214953271028036,1.250496446323207,1.250496446323207,1.499779795339119,1.499779795339119,2.142857142857143,2.142857142857143,30.000000000000032
37,new_death_21_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041910872090746516,0.041910872090746516,0.424156741781624,0.424156741781624,0.5932203389830508,0.5932203389830508,0.7149404216315307,0.7149404216315307,0.8294930875576036,0.8294930875576036,0.9265964672892141,0.9265964672892141,1.0212171694785366,1.0212171694785366,1.1180124223602486,1.1180124223602486,1.2510176897521426,1.2510176897521426,1.5,1.5,2.142857142857143,2.142857142857143,30.000000000000032
38,new_death_22_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109589041095891,0.4109589041095891,0.578512396694215,0.578512396694215,0.6976744186046513,0.6976744186046513,0.8147929511565875,0.8147929511565875,0.9130434782608695,0.9130434782608695,1.0144257912717856,1.0144257912717856,1.1176292753306156,1.1176292753306156,1.2541658742940909,1.2541658742940909,1.5,1.5,2.142857142857143,2.142857142857143,30.000000000000032
39,new_death_23_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3879632012352033,0.3879632012352033,0.5581267018983042,0.5581267018983042,0.6818181818181819,0.6818181818181819,0.8011599348909568,0.8011599348909568,0.9051595802932199,0.9051595802932199,1.0094582427165597,1.0094582427165597,1.120331950207469,1.120331950207469,1.2658227848101264,1.2658227848101264,1.5,1.5,2.142857142857143,2.142857142857143,30.000000000000032
40,new_death_24_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362667654473031,0.362667654473031,0.5376611832240928,0.5376611832240928,0.6634615384615385,0.6634615384615385,0.7851708146031923,0.7851708146031923,0.8940397350993378,0.8940397350993378,1.004037467285471,1.004037467285471,1.120689655172414,1.120689655172414,1.276595744680851,1.276595744680851,1.52083468553255,1.52083468553255,2.166391196555174,2.166391196555174,30.000000000000032
41,new_death_25_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34220532319391633,0.34220532319391633,0.5150609547381447,0.5150609547381447,0.6463878326996197,0.6463878326996197,0.7683249561760344,0.7683249561760344,0.8823529411764706,0.8823529411764706,0.9996867658532158,0.9996867658532158,1.1219403892366289,1.1219403892366289,1.2811474688968896,1.2811474688968896,1.5384615384615383,1.5384615384615383,2.2128920668165977,2.2128920668165977,30.000000000000032
42,new_death_26_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3243243243243243,0.3243243243243243,0.49586776859504134,0.49586776859504134,0.6282722513089005,0.6282722513089005,0.7505566157760815,0.7505566157760815,0.8695652173913044,0.8695652173913044,0.989010989010989,0.989010989010989,1.1214953271028036,1.1214953271028036,1.2857142857142856,1.2857142857142856,1.5584415584415583,1.5584415584415583,2.255942275042445,2.255942275042445,30.000000000000032
43,new_death_27_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30612244897959184,0.30612244897959184,0.47368421052631576,0.47368421052631576,0.6122448979591837,0.6122448979591837,0.7377664461810357,0.7377664461810357,0.8605519579848824,0.8605519579848824,0.9830774987707407,0.9830774987707407,1.1192682795409237,1.1192682795409237,1.2962962962962963,1.2962962962962963,1.5789473684210527,1.5789473684210527,2.3076923076923075,2.3076923076923075,30.000000000000032
44,new_death_28_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28790786948176583,0.28790786948176583,0.4555809031509406,0.4555809031509406,0.5988023952095809,0.5988023952095809,0.7299270072992701,0.7299270072992701,0.8548561853527019,0.8548561853527019,0.9787540751899906,0.9787540751899906,1.1214953271028039,1.1214953271028039,1.3043478260869565,1.3043478260869565,1.6071428571428572,1.6071428571428572,2.360061287027579,2.360061287027579,30.000000000000032
45,new_death_29_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2667655786350148,0.2667655786350148,0.43800063987107785,0.43800063987107785,0.582314881380302,0.582314881380302,0.7142857142857143,0.7142857142857143,0.842181688490345,0.842181688490345,0.9739530958643076,0.9739530958643076,1.1253395392455454,1.1253395392455454,1.307758100632241,1.307758100632241,1.6216216216216215,1.6216216216216215,2.4,2.4,30.000000000000032
46,new_death_30_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2449761672624851,0.2449761672624851,0.4202171522814734,0.4202171522814734,0.5660377358490566,0.5660377358490566,0.6976744186046513,0.6976744186046513,0.8313128146731238,0.8313128146731238,0.9677419354838708,0.9677419354838708,1.1279341646799927,1.1279341646799927,1.3159387690102715,1.3159387690102715,1.6516677033120826,1.6516677033120826,2.4563781321769294,2.4563781321769294,30.000000000000032
47,new_cases_1_day_ago,0.0,0.234375,0.234375,0.4556435058386558,0.4556435058386558,0.6078819815840331,0.6078819815840331,0.7213672114483498,0.7213672114483498,0.8214641530100865,0.8214641530100865,0.9146341463414636,0.9146341463414636,1.0033491947981434,1.0033491947981434,1.0919988305233408,1.0919988305233408,1.1927337424560147,1.1927337424560147,1.3075131130771367,1.3075131130771367,1.4483953861229544,1.4483953861229544,1.6120878663339844,1.6120878663339844,1.8503811716917444,1.8503811716917444,2.2018516405709954,2.2018516405709954,2.914916950225519,2.914916950225519,21.2621359223301
48,new_cases_2_day_ago,0.0,0.24590163934426232,0.24590163934426232,0.4659338922027083,0.4659338922027083,0.6192979142634139,0.6192979142634139,0.729101865121871,0.729101865121871,0.8258246166625288,0.8258246166625288,0.913212964446799,0.913212964446799,0.9983429965859619,0.9983429965859619,1.0838765396557752,1.0838765396557752,1.1765424285582478,1.1765424285582478,1.285686289148531,1.285686289148531,1.414778180325184,1.414778180325184,1.5675977860705936,1.5675977860705936,1.7906344511849452,1.7906344511849452,2.1038948914886193,2.1038948914886193,2.737620198318379,2.737620198318379,20.0
49,new_cases_3_day_ago,0.0,0.2504892666116627,0.2504892666116627,0.4730597936970814,0.4730597936970814,0.6259293771390371,0.6259293771390371,0.7352247338329405,0.7352247338329405,0.8289968332355189,0.8289968332355189,0.9130434782608695,0.9130434782608695,0.9962725892931026,0.9962725892931026,1.0756002595717067,1.0756002595717067,1.1657703985727164,1.1657703985727164,1.2633181097450124,1.2633181097450124,1.3826468367614653,1.3826468367614653,1.5263268588827326,1.5263268588827326,1.7287588815984354,1.7287588815984354,2.0147709017012456,2.0147709017012456,2.5888324873096447,2.5888324873096447,17.709677419354843
