,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max,16_min,16_max,17_min,17_max,18_min,18_max,19_min,19_max,20_min,20_max,21_min,21_max,22_min,22_max,23_min,23_max,24_min,24_max,25_min,25_max,26_min,26_max,27_min,27_max,28_min,28_max,29_min,29_max,30_min,30_max,31_min,31_max
10,stringency_index,0.0,24.07,24.07,32.41,32.41,37.04,37.04,40.74,40.74,43.52,43.52,47.22,47.22,49.54,49.54,50.93,50.93,53.24,53.24,55.56,55.56,57.41,57.41,59.30578060516156,59.30578060516156,59.30578060516156,59.30578060516156,59.30578060516156,59.30578060516156,60.19,60.19,62.96,62.96,64.81,64.81,66.67,66.67,68.98,68.98,70.83,70.83,72.22,72.22,73.61,73.61,75.93,75.93,77.78,77.78,79.63,79.63,80.56,80.56,82.41,82.41,84.26,84.26,87.04,87.04,88.89,88.89,93.52,93.52,100.0
11,population_density,1.98,3.952,3.952,7.859,7.859,14.98,14.98,16.426,16.426,18.22,18.22,23.89,23.89,31.033,31.033,36.253,36.253,44.223,44.223,46.858,46.858,51.75500000000001,51.75500000000001,64.281,64.281,66.444,66.444,73.726,73.726,77.39,77.39,82.6,82.6,87.324,87.324,97.999,97.999,104.87100000000001,104.87100000000001,109.285,109.285,119.309,119.309,126.719,126.719,137.176,137.176,163.755,163.755,209.588,209.588,231.447,231.447,266.879,266.879,323.54940397824345,323.54940397824345,375.564,375.564,508.544,508.544,778.202,778.202,19347.5
12,median_age,15.1,16.8,16.8,17.7,17.7,18.7,18.7,19.0,19.0,19.6,19.6,20.0,20.0,21.1,21.1,22.6,22.6,23.5,23.5,25.3,25.3,26.3,26.3,27.5,27.5,28.2,28.2,29.1,29.1,29.7,29.7,30.6,30.6,31.1,31.1,31.9,31.9,32.4,32.4,33.7,33.7,35.6,35.6,37.9,37.9,38.7,38.7,39.7,39.7,41.0,41.0,41.8,41.8,42.4,42.4,43.0,43.0,43.4,43.4,44.0,44.0,45.5,45.5,48.2
13,gdp_per_capita,661.24,1136.103,1136.103,1561.767,1561.767,1729.9270000000001,1729.9270000000001,2014.306,2014.306,2851.153,2851.153,3523.984,3523.984,4227.63,4227.63,5034.708,5034.708,5819.495,5819.495,7292.458,7292.458,7738.975,7738.975,8787.58,8787.58,10581.936,10581.936,11803.431,11803.431,13254.949,13254.949,14103.452,14103.452,15524.995,15524.995,16409.288,16409.288,17881.509,17881.509,19201.007797629238,19201.007797629238,20551.409,20551.409,23313.199,23313.199,25129.341,25129.341,27936.896,27936.896,31400.84,31400.84,35220.084,35220.084,38605.671,38605.671,43290.705,43290.705,45436.686,45436.686,49045.411,49045.411,67293.483,67293.483,116935.6
14,hospital_beds_per_thousand,0.1,0.3,0.3,0.53,0.53,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.1,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.71,1.71,2.0,2.0,2.11,2.11,2.3,2.3,2.54,2.54,2.77,2.77,2.9,2.9,2.99,2.99,3.0426601339808435,3.0426601339808435,3.0426601339808435,3.0426601339808435,3.0426601339808435,3.0426601339808435,3.28,3.28,3.6,3.6,3.861,3.861,4.34,4.34,4.53,4.53,5.2,5.2,5.64,5.64,6.56,6.56,7.02,7.02,8.05,8.05,13.8
15,life_expectancy,53.28,57.78,57.78,59.31,59.31,61.15,61.15,62.42,62.42,64.1,64.1,64.83,64.83,66.6,66.6,67.44,67.44,70.39,70.39,71.45,71.45,71.9,71.9,72.58,72.58,72.98,72.98,73.77,73.77,74.3,74.3,75.05,75.05,75.27,75.27,75.93,75.93,76.67,76.67,76.88,76.88,77.01,77.01,77.54,77.54,78.49,78.49,78.74,78.74,79.38,79.38,80.9,80.9,81.54,81.54,82.25,82.25,82.43,82.43,82.97,82.97,83.56,83.56,86.75
16,human_development_index,0.354,0.4265,0.4265,0.457,0.457,0.492,0.492,0.503,0.503,0.52,0.52,0.556,0.556,0.588,0.588,0.606,0.606,0.65,0.65,0.667,0.667,0.693,0.693,0.699,0.699,0.708,0.708,0.717,0.717,0.735,0.735,0.752,0.752,0.757,0.757,0.761,0.761,0.78,0.78,0.791,0.791,0.802,0.802,0.811,0.811,0.825,0.825,0.847,0.847,0.858,0.858,0.87,0.87,0.891,0.891,0.903,0.903,0.916,0.916,0.929,0.929,0.936,0.936,0.953
17,new_death_1_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004128186352035842,0.004128186352035842,0.37037037037037035,0.37037037037037035,0.5113636363636364,0.5113636363636364,0.625,0.625,0.7275320970042796,0.7275320970042796,0.8142348757067177,0.8142348757067177,0.9027767291389284,0.9027767291389284,0.9836065573770492,0.9836065573770492,1.0714285714285714,1.0714285714285714,1.1538461538461537,1.1538461538461537,1.25,1.25,1.3636363636363638,1.3636363636363638,1.5,1.5,1.6666666666666667,1.6666666666666667,1.875,1.875,2.1556387225548903,2.1556387225548903,2.606979405034325,2.606979405034325,3.3333333333333335,3.3333333333333335,4.5,4.5,7.500000000000002,7.500000000000002,30.000000000000032
18,new_death_2_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614457831325301,0.3614457831325301,0.5084745762711865,0.5084745762711865,0.6228915876754789,0.6228915876754789,0.7258064516129032,0.7258064516129032,0.8123718970237606,0.8123718970237606,0.8955223880597015,0.8955223880597015,0.9764641358935646,0.9764641358935646,1.0576923076923077,1.0576923076923077,1.1420411443846405,1.1420411443846405,1.2272209526234656,1.2272209526234656,1.3333333333333333,1.3333333333333333,1.4634146341463414,1.4634146341463414,1.6169384896417838,1.6169384896417838,1.814500900592896,1.814500900592896,2.081969671429541,2.081969671429541,2.5,2.5,3.091124286535994,3.091124286535994,4.285714285714286,4.285714285714286,6.923076923076923,6.923076923076923,30.000000000000032
19,new_death_3_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514938569001874,0.3514938569001874,0.5042016806722689,0.5042016806722689,0.6198421571002498,0.6198421571002498,0.7221006564551423,0.7221006564551423,0.8108108108108107,0.8108108108108107,0.8910891089108911,0.8910891089108911,0.9677419354838708,0.9677419354838708,1.0470041071295926,1.0470041071295926,1.1265404663686418,1.1265404663686418,1.2121349388064373,1.2121349388064373,1.3043478260869565,1.3043478260869565,1.4285714285714286,1.4285714285714286,1.5789473684210527,1.5789473684210527,1.7647058823529411,1.7647058823529411,2.0,2.0,2.3493975903614457,2.3493975903614457,2.9294607596278723,2.9294607596278723,3.913043478260869,3.913043478260869,6.113888888888888,6.113888888888888,30.000000000000032
