,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max,16_min,16_max,17_min,17_max,18_min,18_max,19_min,19_max,20_min,20_max,21_min,21_max,22_min,22_max,23_min,23_max,24_min,24_max,25_min,25_max,26_min,26_max,27_min,27_max,28_min,28_max,29_min,29_max,30_min,30_max,31_min,31_max
80,Cases_STATS_std,0.1825741858350553,3.664533687499508,3.664533687499508,5.867195613464989,5.867195613464989,7.74991192652876,7.74991192652876,10.707661779104761,10.707661779104761,15.369643070134227,15.369643070134227,20.351843946086262,20.351843946086262,25.94794852029608,25.94794852029608,31.11462818881261,31.11462818881261,38.44221148391672,38.44221148391672,48.060693916198716,48.060693916198716,58.117615003048584,58.117615003048584,67.11122799170508,67.11122799170508,79.13841421043509,79.13841421043509,91.85140075111008,91.85140075111008,105.34719675240878,105.34719675240878,126.27783635311064,126.27783635311064,143.84028666676343,143.84028666676343,168.1057803424454,168.1057803424454,192.28648686446593,192.28648686446593,222.4053269637761,222.4053269637761,256.751540154596,256.751540154596,292.0459983728193,292.0459983728193,339.6658494289769,339.6658494289769,413.8060419136649,413.8060419136649,499.40884088087466,499.40884088087466,622.2307811369783,622.2307811369783,826.9232208884762,826.9232208884762,1060.8064226964927,1060.8064226964927,1401.0106905663556,1401.0106905663556,2105.088625292803,2105.088625292803,3790.6274928801918,3790.6274928801918,39248.16457776068
81,Cases_STATS_var,0.0333333333333333,13.428807471264369,13.428807471264369,34.42399425287357,34.42399425287357,60.06113505747126,60.06113505747126,114.65402298850574,114.65402298850574,236.225933908046,236.225933908046,414.1975574712643,414.1975574712643,673.2960488505747,673.2960488505747,968.1201149425286,968.1201149425286,1477.8036637931032,1477.8036637931032,2309.831609195402,2309.831609195402,3377.6572557471263,3377.6572557471263,4503.917241379311,4503.917241379311,6262.8887212643685,6262.8887212643685,8436.67988505747,8436.67988505747,11098.031896551724,11098.031896551724,15946.091954022988,15946.091954022988,20690.02844827586,20690.02844827586,28259.5540229885,28259.5540229885,36974.0930316092,36974.0930316092,49464.129885057475,49464.129885057475,65921.35337643679,65921.35337643679,85290.86853448275,85290.86853448275,115372.91724137931,115372.91724137931,171235.45977011492,171235.45977011492,249409.1913793103,249409.1913793103,387171.15272988507,387171.15272988507,683802.0298850575,683802.0298850575,1125310.267816092,1125310.267816092,1962831.0051724138,1962831.0051724138,4431398.248132184,4431398.248132184,14368858.110704027,14368858.110704027,1540418422.7229886
82,Cases_STATS_percentile_25,0.0,0.0,0.0,1e-06,1e-06,2e-06,2e-06,4e-06,4e-06,6.25e-06,6.25e-06,9e-06,9e-06,1.3e-05,1.3e-05,1.825e-05,1.825e-05,2.7e-05,2.7e-05,3.7e-05,3.7e-05,5e-05,5e-05,7e-05,7e-05,9.0546875e-05,9.0546875e-05,0.00011325,0.00011325,0.00015,0.00015,0.00019,0.00019,0.000234984375,0.000234984375,0.000282,0.000282,0.000347,0.000347,0.000423,0.000423,0.0005305,0.0005305,0.0006295,0.0006295,0.00080925,0.00080925,0.001038625,0.001038625,0.00120075,0.00120075,0.00150075,0.00150075,0.00190875,0.00190875,0.0025186875,0.0025186875,0.003486,0.003486,0.004918375,0.004918375,0.008606750000000002,0.008606750000000002,0.18894725
83,Cases_STATS_percentile_50,0.0,2e-06,2e-06,4e-06,4e-06,7e-06,7e-06,1.05e-05,1.05e-05,1.45e-05,1.45e-05,2e-05,2e-05,2.9e-05,2.9e-05,3.95e-05,3.95e-05,5.1e-05,5.1e-05,7.1e-05,7.1e-05,9.15e-05,9.15e-05,0.000113,0.000113,0.0001455,0.0001455,0.000188,0.000188,0.0002295,0.0002295,0.000286,0.000286,0.000339,0.000339,0.000404,0.000404,0.000494,0.000494,0.0006085,0.0006085,0.00069184375,0.00069184375,0.000852,0.000852,0.00107928125,0.00107928125,0.001304,0.001304,0.001588,0.001588,0.0019496875,0.0019496875,0.00252265625,0.00252265625,0.0033275,0.0033275,0.004328,0.004328,0.006099,0.006099,0.01067646875,0.01067646875,0.19745
84,Cases_STATS_percentile_75,0.0,4.984375000000001e-06,4.984375000000001e-06,8.75e-06,8.75e-06,1.375e-05,1.375e-05,1.875e-05,1.875e-05,2.5749999999999996e-05,2.5749999999999996e-05,3.690625e-05,3.690625e-05,4.875e-05,4.875e-05,6.55e-05,6.55e-05,8.5e-05,8.5e-05,0.00010925,0.00010925,0.000135,0.000135,0.00016975,0.00016975,0.000219796875,0.000219796875,0.00026975,0.00026975,0.00031601562499999994,0.00031601562499999994,0.0003835,0.0003835,0.00045648437499999997,0.00045648437499999997,0.000543,0.000543,0.0006725,0.0006725,0.000755625,0.000755625,0.0008862500000000001,0.0008862500000000001,0.00109840625,0.00109840625,0.001345640625,0.001345640625,0.0016275,0.0016275,0.00191146875,0.00191146875,0.0025171875000000003,0.0025171875000000003,0.00313325,0.00313325,0.0040588125,0.0040588125,0.0053595,0.0053595,0.0073135,0.0073135,0.0131385,0.0131385,0.22112725
85,Cases_STATS_entropy,0.0,2.458719532917593,2.458719532917593,2.732834821234129,2.732834821234129,2.859321843086143,2.859321843086143,2.952008474446558,2.952008474446558,3.024965943051853,3.024965943051853,3.0740383096713595,3.0740383096713595,3.1130422646174254,3.1130422646174254,3.1442854421789654,3.1442854421789654,3.17378962735729,3.17378962735729,3.197228396801739,3.197228396801739,3.2168237052105657,3.2168237052105657,3.2348553412270276,3.2348553412270276,3.2508384148351874,3.2508384148351874,3.2636779902978263,3.2636779902978263,3.276027584784908,3.276027584784908,3.2890571502810464,3.2890571502810464,3.299266736972142,3.299266736972142,3.309249223481824,3.309249223481824,3.3182422988773133,3.3182422988773133,3.327493359315221,3.327493359315221,3.3369079710280616,3.3369079710280616,3.34530360282375,3.34530360282375,3.3527368201103487,3.3527368201103487,3.3596752644065804,3.3596752644065804,3.3660508000653495,3.3660508000653495,3.3713817919942235,3.3713817919942235,3.3764329086762457,3.3764329086762457,3.3806103502183555,3.3806103502183555,3.3843001496558394,3.3843001496558394,3.3884717221136187,3.3884717221136187,3.393405886625919,3.393405886625919,3.4007281375470377
86,Death_STATS_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1e-06,1e-06,2e-06,2e-06,4e-06,4e-06,6e-06,6e-06,9e-06,9e-06,1.3e-05,1.3e-05,2e-05,2e-05,2.9e-05,2.9e-05,4.6e-05,4.6e-05,7.2e-05,7.2e-05,0.000145,0.000145,0.00135
87,Death_STATS_max,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,3e-06,3e-06,4e-06,4e-06,4e-06,4e-06,5e-06,5e-06,6e-06,6e-06,7e-06,7e-06,8e-06,8e-06,9e-06,9e-06,1.1e-05,1.1e-05,1.3e-05,1.3e-05,1.5e-05,1.5e-05,1.8e-05,1.8e-05,2.1e-05,2.1e-05,2.5e-05,2.5e-05,3e-05,3e-05,3.7e-05,3.7e-05,4.5e-05,4.5e-05,5.8e-05,5.8e-05,7.5e-05,7.5e-05,9.5e-05,9.5e-05,0.000129,0.000129,0.000175,0.000175,0.000235,0.000235,0.000381,0.000381,0.000897,0.000897,0.004143
88,Death_STATS_avg,3.33333333333333e-08,3.33333333333333e-08,3.33333333333333e-08,1.0000000000000001e-07,1.0000000000000001e-07,1.333333333333333e-07,1.333333333333333e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.666666666666666e-07,2.666666666666666e-07,3.6666666666666656e-07,3.6666666666666656e-07,4.666666666666666e-07,4.666666666666666e-07,6.333333333333333e-07,6.333333333333333e-07,8.333333333333333e-07,8.333333333333333e-07,1.1333333333333332e-06,1.1333333333333332e-06,1.4e-06,1.4e-06,1.8000000000000001e-06,1.8000000000000001e-06,2.2666666666666664e-06,2.2666666666666664e-06,2.7375000000000005e-06,2.7375000000000005e-06,3.333333333333333e-06,3.333333333333333e-06,4.233333333333333e-06,4.233333333333333e-06,5.333333333333333e-06,5.333333333333333e-06,6.633333333333334e-06,6.633333333333334e-06,8.466666666666666e-06,8.466666666666666e-06,1.0666666666666666e-05,1.0666666666666666e-05,1.3233333333333333e-05,1.3233333333333333e-05,1.66e-05,1.66e-05,2.0366666666666666e-05,2.0366666666666666e-05,2.7216666666666666e-05,2.7216666666666666e-05,3.618125e-05,3.618125e-05,4.676666666666667e-05,4.676666666666667e-05,6.325416666666666e-05,6.325416666666666e-05,8.618333333333333e-05,8.618333333333333e-05,0.00012190416666666665,0.00012190416666666665,0.00018265416666666666,0.00018265416666666666,0.0004242166666666667,0.0004242166666666667,0.002262766666666667
89,Death_STATS_std,0.1825741858350553,0.1825741858350553,0.1825741858350553,0.3051285766293646,0.3051285766293646,0.3790490217894517,0.3790490217894517,0.4497764451088036,0.4497764451088036,0.5508613944197477,0.5508613944197477,0.6686751354593717,0.6686751354593717,0.7943767889097847,0.7943767889097847,0.9352607356658148,0.9352607356658148,1.106407669457548,1.106407669457548,1.2635472781569874,1.2635472781569874,1.4605934866804429,1.4605934866804429,1.6386144974533725,1.6386144974533725,1.8964576779190008,1.8964576779190008,2.1971768720102056,2.1971768720102056,2.6193357059051983,2.6193357059051983,3.0618152530285294,3.0618152530285294,3.5084462946294126,3.5084462946294126,3.9433306054337045,3.9433306054337045,4.558787459514542,4.558787459514542,5.298882984577842,5.298882984577842,6.256898488094203,6.256898488094203,7.412051372205431,7.412051372205431,8.779809648919752,8.779809648919752,11.239222167311516,11.239222167311516,13.691007099030227,13.691007099030227,18.537299304348352,18.537299304348352,24.992848267232613,24.992848267232613,34.52457477879479,34.52457477879479,46.63776771785843,46.63776771785843,73.32455105204549,73.32455105204549,161.15706999278547,161.15706999278547,982.9745667363802
