,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
45,new_death_29_day_ago,0.0,0.0,0.0,0.0,0.0,0.2667655786350148,0.2667655786350148,0.582314881380302,0.582314881380302,0.842181688490345,0.842181688490345,1.1253395392455454,1.1253395392455454,1.6216216216216215,1.6216216216216215,30.000000000000032
46,new_death_30_day_ago,0.0,0.0,0.0,0.0,0.0,0.2449761672624851,0.2449761672624851,0.5660377358490566,0.5660377358490566,0.8313128146731238,0.8313128146731238,1.1279341646799927,1.1279341646799927,1.6516677033120826,1.6516677033120826,30.000000000000032
47,new_cases_1_day_ago,0.0,0.4556435058386558,0.4556435058386558,0.7213672114483498,0.7213672114483498,0.9146341463414636,0.9146341463414636,1.0919988305233408,1.0919988305233408,1.3075131130771367,1.3075131130771367,1.6120878663339844,1.6120878663339844,2.2018516405709954,2.2018516405709954,21.2621359223301
48,new_cases_2_day_ago,0.0,0.4659338922027083,0.4659338922027083,0.729101865121871,0.729101865121871,0.913212964446799,0.913212964446799,1.0838765396557752,1.0838765396557752,1.285686289148531,1.285686289148531,1.5675977860705936,1.5675977860705936,2.1038948914886193,2.1038948914886193,20.0
49,new_cases_3_day_ago,0.0,0.4730597936970814,0.4730597936970814,0.7352247338329405,0.7352247338329405,0.9130434782608695,0.9130434782608695,1.0756002595717067,1.0756002595717067,1.2633181097450124,1.2633181097450124,1.5263268588827326,1.5263268588827326,2.0147709017012456,2.0147709017012456,17.709677419354843
50,new_cases_4_day_ago,0.0,0.48057387779792243,0.48057387779792243,0.7406919307288311,0.7406919307288311,0.9145175544450916,0.9145175544450916,1.0690531882436694,1.0690531882436694,1.2442540623226193,1.2442540623226193,1.4846006401691256,1.4846006401691256,1.93071800939117,1.93071800939117,16.111918604651162
51,new_cases_5_day_ago,0.0,0.49219061902494365,0.49219061902494365,0.7463078948846645,0.7463078948846645,0.9146249400568581,0.9146249400568581,1.0603179740280755,1.0603179740280755,1.2205679909966145,1.2205679909966145,1.4404087037638975,1.4404087037638975,1.845669837986303,1.845669837986303,15.05091649694501
52,new_cases_6_day_ago,0.0,0.49994519947391497,0.49994519947391497,0.7524297291913483,0.7524297291913483,0.9137055837563451,0.9137055837563451,1.0493631582282492,1.0493631582282492,1.1958534213873708,1.1958534213873708,1.399416909620991,1.399416909620991,1.7567567567567568,1.7567567567567568,30.000000000000032
53,new_cases_7_day_ago,0.0,0.5076311343289379,0.5076311343289379,0.7557891303386628,0.7557891303386628,0.9107577926459545,0.9107577926459545,1.0388098318240622,1.0388098318240622,1.1720578544877491,1.1720578544877491,1.356544450917566,1.356544450917566,1.6738580747539105,1.6738580747539105,14.667274859898345
54,new_cases_8_day_ago,0.0,0.5119453924914675,0.5119453924914675,0.7572944525183383,0.7572944525183383,0.9071725134946855,0.9071725134946855,1.0276607437259573,1.0276607437259573,1.1493066862160894,1.1493066862160894,1.314621618165359,1.314621618165359,1.6009373771869,1.6009373771869,15.000000000000004
55,new_cases_9_day_ago,0.0,0.5145502565097477,0.5145502565097477,0.7557093863101165,0.7557093863101165,0.9022029397753946,0.9022029397753946,1.0167066540467962,1.0167066540467962,1.1284014027444969,1.1284014027444969,1.2745243844117065,1.2745243844117065,1.5361088008888997,1.5361088008888997,15.000000000000004
56,new_cases_10_day_ago,0.0,0.5086826415045057,0.5086826415045057,0.7523799913671024,0.7523799913671024,0.8955223880597015,0.8955223880597015,1.0074399887698282,1.0074399887698282,1.10919033438286,1.10919033438286,1.2442446000270295,1.2442446000270295,1.4860758044348283,1.4860758044348283,16.102040816326532
57,new_cases_11_day_ago,0.0,0.5054544219369315,0.5054544219369315,0.7471900218842511,0.7471900218842511,0.8905403898244043,0.8905403898244043,0.9954117362955809,0.9954117362955809,1.093458606981727,1.093458606981727,1.2188781136451345,1.2188781136451345,1.4424039168494278,1.4424039168494278,9.086395233366435
58,new_cases_12_day_ago,0.0,0.49826650034853426,0.49826650034853426,0.739855712964324,0.739855712964324,0.8808337881215934,0.8808337881215934,0.9845998485231002,0.9845998485231002,1.0778352366581867,1.0778352366581867,1.1929307805596465,1.1929307805596465,1.4043119686161953,1.4043119686161953,12.67907437867556
59,new_cases_13_day_ago,0.0,0.4838709677419355,0.4838709677419355,0.7306277952315786,0.7306277952315786,0.8705454305198574,0.8705454305198574,0.9731340837626622,0.9731340837626622,1.0624092664814533,1.0624092664814533,1.1697094546231082,1.1697094546231082,1.3703748655230137,1.3703748655230137,11.84228802323379
60,new_cases_14_day_ago,0.0,0.4724413228806103,0.4724413228806103,0.7206973844498556,0.7206973844498556,0.8606496665012013,0.8606496665012013,0.9619952494061759,0.9619952494061759,1.0483165094495592,1.0483165094495592,1.1529890662645386,1.1529890662645386,1.3432835820895526,1.3432835820895526,11.479660532865477
61,new_cases_15_day_ago,0.0,0.458366907444021,0.458366907444021,0.7050899456701545,0.7050899456701545,0.8491934368295038,0.8491934368295038,0.9515953892415635,0.9515953892415635,1.0358015883699019,1.0358015883699019,1.138245930611509,1.138245930611509,1.317598985001425,1.317598985001425,11.255100408032643
62,new_cases_16_day_ago,0.0,0.43985655594852463,0.43985655594852463,0.690937695368427,0.690937695368427,0.8389020518954731,0.8389020518954731,0.9402252906976746,0.9402252906976746,1.0272410461127344,1.0272410461127344,1.1276905994602355,1.1276905994602355,1.3043478260869565,1.3043478260869565,9.6
63,new_cases_17_day_ago,0.0,0.4183279198288204,0.4183279198288204,0.6721188942260266,0.6721188942260266,0.825103511508571,0.825103511508571,0.9304274937133278,0.9304274937133278,1.020874449642049,1.020874449642049,1.124008386644686,1.124008386644686,1.3030075957868361,1.3030075957868361,9.6
64,new_cases_18_day_ago,0.0,0.39823008849557523,0.39823008849557523,0.6552501351526219,0.6552501351526219,0.8102597760342685,0.8102597760342685,0.9208614697985797,0.9208614697985797,1.0167656833772871,1.0167656833772871,1.126806169033792,1.126806169033792,1.307288670845769,1.307288670845769,12.101694915254237
65,new_cases_19_day_ago,0.0,0.37690825392603955,0.37690825392603955,0.6370024003656855,0.6370024003656855,0.7944746132173908,0.7944746132173908,0.9083383919209758,0.9083383919209758,1.0123573267394623,1.0123573267394623,1.1255036392347655,1.1255036392347655,1.3103939252431367,1.3103939252431367,30.000000000000032
66,new_cases_20_day_ago,0.0,0.35782748144861665,0.35782748144861665,0.621022185523417,0.621022185523417,0.7777634568812224,0.7777634568812224,0.898141775636614,0.898141775636614,1.0076428625730058,1.0076428625730058,1.1258754414038608,1.1258754414038608,1.318503182696266,1.318503182696266,15.000000000000016
