,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
28,new_death_12_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42221417201996303,0.42221417201996303,0.6611165523996083,0.6611165523996083,0.8219178082191781,0.8219178082191781,0.9473684210526315,0.9473684210526315,1.056338028169014,1.056338028169014,1.1727850799082091,1.1727850799082091,1.3403706953279229,1.3403706953279229,1.6666666666666665,1.6666666666666665,2.608695652173913,2.608695652173913,30.000000000000032
29,new_death_13_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4021786786280396,0.4021786786280396,0.6498194945848376,0.6498194945848376,0.8108108108108107,0.8108108108108107,0.9374999999999998,0.9374999999999998,1.041016277057457,1.041016277057457,1.1538461538461537,1.1538461538461537,1.3119829279128887,1.3119829279128887,1.6265060240963856,1.6265060240963856,2.5,2.5,30.000000000000032
30,new_death_14_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.3846153846153846,0.6382978723404255,0.6382978723404255,0.8,0.8,0.9259259259259258,0.9259259259259258,1.0306652218883259,1.0306652218883259,1.1397058823529411,1.1397058823529411,1.2928409395306844,1.2928409395306844,1.592920353982301,1.592920353982301,2.5,2.5,30.000000000000032
31,new_death_15_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36809815950920244,0.36809815950920244,0.6244579358196011,0.6244579358196011,0.7894736842105263,0.7894736842105263,0.9152542372881355,0.9152542372881355,1.0185231490624844,1.0185231490624844,1.125,1.125,1.2685086165244,1.2685086165244,1.5754639936999912,1.5754639936999912,2.5,2.5,30.000000000000032
32,new_death_16_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3474903474903475,0.3474903474903475,0.6082949308755762,0.6082949308755762,0.7741935483870968,0.7741935483870968,0.9074754991723188,0.9074754991723188,1.0109348555576376,1.0109348555576376,1.1115187087307412,1.1115187087307412,1.256544502617801,1.256544502617801,1.5481493223428706,1.5481493223428706,2.4247994652406417,2.4247994652406417,30.000000000000032
33,new_death_17_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32037384377295514,0.32037384377295514,0.588716271463614,0.588716271463614,0.7587870264135115,0.7587870264135115,0.893854748603352,0.893854748603352,1.0,1.0,1.1097099621689785,1.1097099621689785,1.25,1.25,1.5384615384615383,1.5384615384615383,2.419354838709677,2.419354838709677,30.000000000000032
34,new_death_18_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29232657586316124,0.29232657586316124,0.5714285714285714,0.5714285714285714,0.7407407407407407,0.7407407407407407,0.8823529411764706,0.8823529411764706,0.9937410640208608,0.9937410640208608,1.1029411764705883,1.1029411764705883,1.25,1.25,1.5286624203821655,1.5286624203821655,2.4,2.4,30.000000000000032
35,new_death_19_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.2631578947368421,0.5555555555555556,0.5555555555555556,0.7228915662650602,0.7228915662650602,0.8670520231213873,0.8670520231213873,0.9836065573770493,0.9836065573770493,1.0975609756097562,1.0975609756097562,1.245406697907076,1.245406697907076,1.5228426395939088,1.5228426395939088,2.3823051948051948,2.3823051948051948,30.000000000000032
36,new_death_20_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23524089973745832,0.23524089973745832,0.5374592833876222,0.5374592833876222,0.7086614173228346,0.7086614173228346,0.8556028691570459,0.8556028691570459,0.9738809828091356,0.9738809828091356,1.0932232941996978,1.0932232941996978,1.2417933696723522,1.2417933696723522,1.5205037987296053,1.5205037987296053,2.4,2.4,30.000000000000032
37,new_death_21_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20286299629950783,0.20286299629950783,0.517241379310345,0.517241379310345,0.6930693069306931,0.6930693069306931,0.8390719450041484,0.8390719450041484,0.9677419354838709,0.9677419354838709,1.0896860986547086,1.0896860986547086,1.2421501791401273,1.2421501791401273,1.5254237288135595,1.5254237288135595,2.4,2.4,30.000000000000032
